# delta=  0.3000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1352E+00
   0.2000E+00   0.4068E+00
   0.3000E+00   0.6764E+00
   0.4000E+00   0.9144E+00
   0.5000E+00   0.1105E+01
   0.6000E+00   0.1243E+01
   0.7000E+00   0.1327E+01
   0.8000E+00   0.1362E+01
   0.9000E+00   0.1354E+01
   0.1000E+01   0.1308E+01
   0.1100E+01   0.1232E+01
   0.1200E+01   0.1134E+01
   0.1300E+01   0.1018E+01
   0.1400E+01   0.8920E+00
   0.1500E+01   0.7599E+00
   0.1600E+01   0.6263E+00
   0.1700E+01   0.4946E+00
   0.1800E+01   0.3676E+00
   0.1900E+01   0.2475E+00
   0.2000E+01   0.1356E+00
   0.2100E+01   0.3306E-01
   0.2200E+01  -0.5956E-01
   0.2300E+01  -0.1420E+00
   0.2400E+01  -0.2145E+00
   0.2500E+01  -0.2771E+00
   0.2600E+01  -0.3303E+00
   0.2700E+01  -0.3747E+00
   0.2800E+01  -0.4110E+00
   0.2900E+01  -0.4398E+00
   0.3000E+01  -0.4618E+00
   0.3100E+01  -0.4777E+00
   0.3200E+01  -0.4881E+00
   0.3300E+01  -0.4938E+00
   0.3400E+01  -0.4954E+00
   0.3500E+01  -0.4934E+00
   0.3600E+01  -0.4883E+00
   0.3700E+01  -0.4807E+00
   0.3800E+01  -0.4709E+00
   0.3900E+01  -0.4594E+00
   0.4000E+01  -0.4466E+00
   0.4100E+01  -0.4326E+00
   0.4200E+01  -0.4179E+00
   0.4300E+01  -0.4025E+00
   0.4400E+01  -0.3868E+00
   0.4500E+01  -0.3710E+00
   0.4600E+01  -0.3551E+00
   0.4700E+01  -0.3393E+00
   0.4800E+01  -0.3236E+00
   0.4900E+01  -0.3083E+00
   0.5000E+01  -0.2933E+00
   0.5100E+01  -0.2788E+00
   0.5200E+01  -0.2647E+00
   0.5300E+01  -0.2511E+00
   0.5400E+01  -0.2380E+00
   0.5500E+01  -0.2254E+00
   0.5600E+01  -0.2134E+00
   0.5700E+01  -0.2019E+00
   0.5800E+01  -0.1910E+00
   0.5900E+01  -0.1806E+00
   0.6000E+01  -0.1707E+00
   0.6100E+01  -0.1613E+00
   0.6200E+01  -0.1524E+00
   0.6300E+01  -0.1440E+00
   0.6400E+01  -0.1360E+00
   0.6500E+01  -0.1285E+00
   0.6600E+01  -0.1215E+00
   0.6700E+01  -0.1148E+00
   0.6800E+01  -0.1085E+00
   0.6900E+01  -0.1026E+00
   0.7000E+01  -0.9705E-01
   0.7100E+01  -0.9181E-01
   0.7200E+01  -0.8689E-01
   0.7300E+01  -0.8227E-01
   0.7400E+01  -0.7792E-01
   0.7500E+01  -0.7383E-01
   0.7600E+01  -0.6999E-01
   0.7700E+01  -0.6638E-01
   0.7800E+01  -0.6299E-01
   0.7900E+01  -0.5980E-01
   0.8000E+01  -0.5681E-01
   0.8100E+01  -0.5399E-01
   0.8200E+01  -0.5134E-01
   0.8300E+01  -0.4885E-01
   0.8400E+01  -0.4651E-01
   0.8500E+01  -0.4430E-01
   0.8600E+01  -0.4222E-01
   0.8700E+01  -0.4026E-01
   0.8800E+01  -0.3841E-01
   0.8900E+01  -0.3667E-01
   0.9000E+01  -0.3503E-01
   0.9100E+01  -0.3348E-01
   0.9200E+01  -0.3201E-01
   0.9300E+01  -0.3063E-01
   0.9400E+01  -0.2932E-01
   0.9500E+01  -0.2808E-01
   0.9600E+01  -0.2691E-01
   0.9700E+01  -0.2580E-01
   0.9800E+01  -0.2474E-01
   0.9900E+01  -0.2374E-01
   0.1000E+02  -0.2280E-01



