# delta=  0.7000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1298E+00
   0.2000E+00   0.3516E+00
   0.3000E+00   0.5579E+00
   0.4000E+00   0.7228E+00
   0.5000E+00   0.8377E+00
   0.6000E+00   0.9031E+00
   0.7000E+00   0.9245E+00
   0.8000E+00   0.9094E+00
   0.9000E+00   0.8660E+00
   0.1000E+01   0.8022E+00
   0.1100E+01   0.7250E+00
   0.1200E+01   0.6404E+00
   0.1300E+01   0.5530E+00
   0.1400E+01   0.4665E+00
   0.1500E+01   0.3837E+00
   0.1600E+01   0.3061E+00
   0.1700E+01   0.2350E+00
   0.1800E+01   0.1708E+00
   0.1900E+01   0.1138E+00
   0.2000E+01   0.6361E-01
   0.2100E+01   0.2003E-01
   0.2200E+01  -0.1750E-01
   0.2300E+01  -0.4951E-01
   0.2400E+01  -0.7658E-01
   0.2500E+01  -0.9928E-01
   0.2600E+01  -0.1182E+00
   0.2700E+01  -0.1337E+00
   0.2800E+01  -0.1464E+00
   0.2900E+01  -0.1566E+00
   0.3000E+01  -0.1646E+00
   0.3100E+01  -0.1709E+00
   0.3200E+01  -0.1756E+00
   0.3300E+01  -0.1791E+00
   0.3400E+01  -0.1814E+00
   0.3500E+01  -0.1829E+00
   0.3600E+01  -0.1835E+00
   0.3700E+01  -0.1835E+00
   0.3800E+01  -0.1829E+00
   0.3900E+01  -0.1819E+00
   0.4000E+01  -0.1805E+00
   0.4100E+01  -0.1787E+00
   0.4200E+01  -0.1767E+00
   0.4300E+01  -0.1745E+00
   0.4400E+01  -0.1721E+00
   0.4500E+01  -0.1696E+00
   0.4600E+01  -0.1669E+00
   0.4700E+01  -0.1641E+00
   0.4800E+01  -0.1613E+00
   0.4900E+01  -0.1584E+00
   0.5000E+01  -0.1555E+00
   0.5100E+01  -0.1525E+00
   0.5200E+01  -0.1496E+00
   0.5300E+01  -0.1466E+00
   0.5400E+01  -0.1436E+00
   0.5500E+01  -0.1406E+00
   0.5600E+01  -0.1377E+00
   0.5700E+01  -0.1347E+00
   0.5800E+01  -0.1318E+00
   0.5900E+01  -0.1289E+00
   0.6000E+01  -0.1261E+00
   0.6100E+01  -0.1233E+00
   0.6200E+01  -0.1205E+00
   0.6300E+01  -0.1177E+00
   0.6400E+01  -0.1150E+00
   0.6500E+01  -0.1123E+00
   0.6600E+01  -0.1097E+00
   0.6700E+01  -0.1071E+00
   0.6800E+01  -0.1045E+00
   0.6900E+01  -0.1020E+00
   0.7000E+01  -0.9955E-01
   0.7100E+01  -0.9712E-01
   0.7200E+01  -0.9474E-01
   0.7300E+01  -0.9240E-01
   0.7400E+01  -0.9010E-01
   0.7500E+01  -0.8785E-01
   0.7600E+01  -0.8564E-01
   0.7700E+01  -0.8347E-01
   0.7800E+01  -0.8135E-01
   0.7900E+01  -0.7927E-01
   0.8000E+01  -0.7723E-01
   0.8100E+01  -0.7523E-01
   0.8200E+01  -0.7328E-01
   0.8300E+01  -0.7137E-01
   0.8400E+01  -0.6950E-01
   0.8500E+01  -0.6767E-01
   0.8600E+01  -0.6588E-01
   0.8700E+01  -0.6413E-01
   0.8800E+01  -0.6242E-01
   0.8900E+01  -0.6075E-01
   0.9000E+01  -0.5912E-01
   0.9100E+01  -0.5752E-01
   0.9200E+01  -0.5596E-01
   0.9300E+01  -0.5444E-01
   0.9400E+01  -0.5296E-01
   0.9500E+01  -0.5151E-01
   0.9600E+01  -0.5010E-01
   0.9700E+01  -0.4872E-01
   0.9800E+01  -0.4738E-01
   0.9900E+01  -0.4607E-01
   0.1000E+02  -0.4480E-01



