# delta=  0.2000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1351E+00
   0.2000E+00   0.4159E+00
   0.3000E+00   0.6968E+00
   0.4000E+00   0.9478E+00
   0.5000E+00   0.1152E+01
   0.6000E+00   0.1303E+01
   0.7000E+00   0.1399E+01
   0.8000E+00   0.1443E+01
   0.9000E+00   0.1441E+01
   0.1000E+01   0.1398E+01
   0.1100E+01   0.1323E+01
   0.1200E+01   0.1221E+01
   0.1300E+01   0.1100E+01
   0.1400E+01   0.9649E+00
   0.1500E+01   0.8224E+00
   0.1600E+01   0.6768E+00
   0.1700E+01   0.5322E+00
   0.1800E+01   0.3917E+00
   0.1900E+01   0.2579E+00
   0.2000E+01   0.1329E+00
   0.2100E+01   0.1784E-01
   0.2200E+01  -0.8627E-01
   0.2300E+01  -0.1790E+00
   0.2400E+01  -0.2604E+00
   0.2500E+01  -0.3304E+00
   0.2600E+01  -0.3897E+00
   0.2700E+01  -0.4387E+00
   0.2800E+01  -0.4781E+00
   0.2900E+01  -0.5087E+00
   0.3000E+01  -0.5313E+00
   0.3100E+01  -0.5467E+00
   0.3200E+01  -0.5558E+00
   0.3300E+01  -0.5593E+00
   0.3400E+01  -0.5581E+00
   0.3500E+01  -0.5527E+00
   0.3600E+01  -0.5438E+00
   0.3700E+01  -0.5322E+00
   0.3800E+01  -0.5182E+00
   0.3900E+01  -0.5024E+00
   0.4000E+01  -0.4852E+00
   0.4100E+01  -0.4670E+00
   0.4200E+01  -0.4481E+00
   0.4300E+01  -0.4288E+00
   0.4400E+01  -0.4093E+00
   0.4500E+01  -0.3899E+00
   0.4600E+01  -0.3707E+00
   0.4700E+01  -0.3519E+00
   0.4800E+01  -0.3335E+00
   0.4900E+01  -0.3156E+00
   0.5000E+01  -0.2984E+00
   0.5100E+01  -0.2818E+00
   0.5200E+01  -0.2660E+00
   0.5300E+01  -0.2508E+00
   0.5400E+01  -0.2364E+00
   0.5500E+01  -0.2226E+00
   0.5600E+01  -0.2096E+00
   0.5700E+01  -0.1973E+00
   0.5800E+01  -0.1857E+00
   0.5900E+01  -0.1748E+00
   0.6000E+01  -0.1645E+00
   0.6100E+01  -0.1548E+00
   0.6200E+01  -0.1457E+00
   0.6300E+01  -0.1372E+00
   0.6400E+01  -0.1292E+00
   0.6500E+01  -0.1217E+00
   0.6600E+01  -0.1147E+00
   0.6700E+01  -0.1081E+00
   0.6800E+01  -0.1020E+00
   0.6900E+01  -0.9625E-01
   0.7000E+01  -0.9088E-01
   0.7100E+01  -0.8585E-01
   0.7200E+01  -0.8114E-01
   0.7300E+01  -0.7674E-01
   0.7400E+01  -0.7262E-01
   0.7500E+01  -0.6877E-01
   0.7600E+01  -0.6516E-01
   0.7700E+01  -0.6178E-01
   0.7800E+01  -0.5861E-01
   0.7900E+01  -0.5564E-01
   0.8000E+01  -0.5285E-01
   0.8100E+01  -0.5024E-01
   0.8200E+01  -0.4779E-01
   0.8300E+01  -0.4548E-01
   0.8400E+01  -0.4332E-01
   0.8500E+01  -0.4128E-01
   0.8600E+01  -0.3936E-01
   0.8700E+01  -0.3756E-01
   0.8800E+01  -0.3585E-01
   0.8900E+01  -0.3425E-01
   0.9000E+01  -0.3273E-01
   0.9100E+01  -0.3130E-01
   0.9200E+01  -0.2995E-01
   0.9300E+01  -0.2867E-01
   0.9400E+01  -0.2746E-01
   0.9500E+01  -0.2632E-01
   0.9600E+01  -0.2523E-01
   0.9700E+01  -0.2420E-01
   0.9800E+01  -0.2322E-01
   0.9900E+01  -0.2229E-01
   0.1000E+02  -0.2141E-01



