# delta=  0.4000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1349E+00
   0.2000E+00   0.3949E+00
   0.3000E+00   0.6504E+00
   0.4000E+00   0.8721E+00
   0.5000E+00   0.1046E+01
   0.6000E+00   0.1167E+01
   0.7000E+00   0.1237E+01
   0.8000E+00   0.1260E+01
   0.9000E+00   0.1244E+01
   0.1000E+01   0.1194E+01
   0.1100E+01   0.1118E+01
   0.1200E+01   0.1023E+01
   0.1300E+01   0.9142E+00
   0.1400E+01   0.7980E+00
   0.1500E+01   0.6784E+00
   0.1600E+01   0.5590E+00
   0.1700E+01   0.4429E+00
   0.1800E+01   0.3321E+00
   0.1900E+01   0.2282E+00
   0.2000E+01   0.1322E+00
   0.2100E+01   0.4484E-01
   0.2200E+01  -0.3373E-01
   0.2300E+01  -0.1035E+00
   0.2400E+01  -0.1647E+00
   0.2500E+01  -0.2177E+00
   0.2600E+01  -0.2630E+00
   0.2700E+01  -0.3011E+00
   0.2800E+01  -0.3327E+00
   0.2900E+01  -0.3582E+00
   0.3000E+01  -0.3783E+00
   0.3100E+01  -0.3936E+00
   0.3200E+01  -0.4046E+00
   0.3300E+01  -0.4118E+00
   0.3400E+01  -0.4157E+00
   0.3500E+01  -0.4167E+00
   0.3600E+01  -0.4152E+00
   0.3700E+01  -0.4116E+00
   0.3800E+01  -0.4062E+00
   0.3900E+01  -0.3992E+00
   0.4000E+01  -0.3910E+00
   0.4100E+01  -0.3818E+00
   0.4200E+01  -0.3717E+00
   0.4300E+01  -0.3610E+00
   0.4400E+01  -0.3498E+00
   0.4500E+01  -0.3383E+00
   0.4600E+01  -0.3265E+00
   0.4700E+01  -0.3146E+00
   0.4800E+01  -0.3027E+00
   0.4900E+01  -0.2908E+00
   0.5000E+01  -0.2790E+00
   0.5100E+01  -0.2673E+00
   0.5200E+01  -0.2559E+00
   0.5300E+01  -0.2447E+00
   0.5400E+01  -0.2338E+00
   0.5500E+01  -0.2232E+00
   0.5600E+01  -0.2130E+00
   0.5700E+01  -0.2030E+00
   0.5800E+01  -0.1934E+00
   0.5900E+01  -0.1842E+00
   0.6000E+01  -0.1753E+00
   0.6100E+01  -0.1668E+00
   0.6200E+01  -0.1586E+00
   0.6300E+01  -0.1508E+00
   0.6400E+01  -0.1433E+00
   0.6500E+01  -0.1362E+00
   0.6600E+01  -0.1294E+00
   0.6700E+01  -0.1229E+00
   0.6800E+01  -0.1168E+00
   0.6900E+01  -0.1109E+00
   0.7000E+01  -0.1054E+00
   0.7100E+01  -0.1001E+00
   0.7200E+01  -0.9505E-01
   0.7300E+01  -0.9030E-01
   0.7400E+01  -0.8579E-01
   0.7500E+01  -0.8153E-01
   0.7600E+01  -0.7748E-01
   0.7700E+01  -0.7366E-01
   0.7800E+01  -0.7004E-01
   0.7900E+01  -0.6662E-01
   0.8000E+01  -0.6338E-01
   0.8100E+01  -0.6032E-01
   0.8200E+01  -0.5742E-01
   0.8300E+01  -0.5468E-01
   0.8400E+01  -0.5210E-01
   0.8500E+01  -0.4965E-01
   0.8600E+01  -0.4734E-01
   0.8700E+01  -0.4515E-01
   0.8800E+01  -0.4308E-01
   0.8900E+01  -0.4113E-01
   0.9000E+01  -0.3928E-01
   0.9100E+01  -0.3753E-01
   0.9200E+01  -0.3587E-01
   0.9300E+01  -0.3431E-01
   0.9400E+01  -0.3282E-01
   0.9500E+01  -0.3142E-01
   0.9600E+01  -0.3009E-01
   0.9700E+01  -0.2883E-01
   0.9800E+01  -0.2763E-01
   0.9900E+01  -0.2650E-01
   0.1000E+02  -0.2542E-01



