# delta=  0.0000E+00
#D           4*PI*D**2*PHI
   0.1300E+01   0.1018E+01
   0.1400E+01   0.8920E+00
   0.1500E+01   0.7599E+00
   0.1600E+01   0.6263E+00
   0.1700E+01   0.4946E+00
   0.1800E+01   0.3676E+00
   0.1900E+01   0.2475E+00
   0.2000E+01   0.1356E+00
   0.2100E+01   0.3306E-01
   0.2200E+01  -0.5956E-01
   0.2300E+01  -0.1420E+00
   0.2400E+01  -0.2145E+00
   0.2500E+01  -0.2771E+00
   0.2600E+01  -0.3303E+00
   0.2700E+01  -0.3747E+00
   0.2800E+01  -0.4110E+00
   0.2900E+01  -0.4398E+00
   0.3000E+01  -0.4618E+00
   0.3100E+01  -0.4777E+00
   0.3200E+01  -0.4881E+00
   0.3300E+01  -0.4938E+00
   0.3400E+01  -0.4954E+00
   0.3500E+01  -0.4934E+00
   0.3600E+01  -0.4883E+00
   0.3700E+01  -0.4807E+00
   0.3800E+01  -0.4709E+00
   0.3900E+01  -0.4594E+00
   0.4000E+01  -0.4466E+00
   0.4100E+01  -0.4326E+00
   0.4200E+01  -0.4179E+00
   0.4300E+01  -0.4025E+00
   0.4400E+01  -0.3868E+00
   0.4500E+01  -0.3710E+00
   0.4600E+01  -0.3551E+00
   0.4700E+01  -0.3393E+00
   0.4800E+01  -0.3236E+00
   0.4900E+01  -0.3083E+00
   0.5000E+01  -0.2933E+00
   0.5100E+01  -0.2788E+00
   0.5200E+01  -0.2647E+00
   0.5300E+01  -0.2511E+00
   0.5400E+01  -0.2380E+00
   0.5500E+01  -0.2254E+00
   0.5600E+01  -0.2134E+00
   0.5700E+01  -0.2019E+00
   0.5800E+01  -0.1910E+00
   0.5900E+01  -0.1806E+00
   0.6000E+01  -0.1707E+00
   0.6100E+01  -0.1613E+00
   0.6200E+01  -0.1524E+00
   0.6300E+01  -0.1440E+00
   0.6400E+01  -0.1360E+00
   0.6500E+01  -0.1285E+00
   0.6600E+01  -0.1215E+00
   0.6700E+01  -0.1148E+00
   0.6800E+01  -0.1085E+00
   0.6900E+01  -0.1026E+00
   0.7000E+01  -0.9705E-01
   0.7100E+01  -0.9181E-01
   0.7200E+01  -0.8689E-01
   0.7300E+01  -0.8227E-01
   0.7400E+01  -0.7792E-01
   0.7500E+01  -0.7383E-01
   0.7600E+01  -0.6999E-01
   0.7700E+01  -0.6638E-01
   0.7800E+01  -0.6299E-01
   0.7900E+01  -0.5980E-01
   0.8000E+01  -0.5681E-01
   0.8100E+01  -0.5399E-01
   0.8200E+01  -0.5134E-01
   0.8300E+01  -0.4885E-01
   0.8400E+01  -0.4651E-01
   0.8500E+01  -0.4430E-01
   0.8600E+01  -0.4222E-01
   0.8700E+01  -0.4026E-01
   0.8800E+01  -0.3841E-01
   0.8900E+01  -0.3667E-01
   0.9000E+01  -0.3503E-01
   0.9100E+01  -0.3348E-01
   0.9200E+01  -0.3201E-01
   0.9300E+01  -0.3063E-01
   0.9400E+01  -0.2932E-01
   0.9500E+01  -0.2808E-01
   0.9600E+01  -0.2691E-01
   0.9700E+01  -0.2580E-01
   0.9800E+01  -0.2474E-01
   0.9900E+01  -0.2374E-01
   0.1000E+02  -0.2280E-01



# delta=  0.4000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1349E+00
   0.2000E+00   0.3949E+00
   0.3000E+00   0.6504E+00
   0.4000E+00   0.8721E+00
   0.5000E+00   0.1046E+01
   0.6000E+00   0.1167E+01
   0.7000E+00   0.1237E+01
   0.8000E+00   0.1260E+01
   0.9000E+00   0.1244E+01
   0.1000E+01   0.1194E+01
   0.1100E+01   0.1118E+01
   0.1200E+01   0.1023E+01
   0.1300E+01   0.9142E+00
   0.1400E+01   0.7980E+00
   0.1500E+01   0.6784E+00
   0.1600E+01   0.5590E+00
   0.1700E+01   0.4429E+00
   0.1800E+01   0.3321E+00
   0.1900E+01   0.2282E+00
   0.2000E+01   0.1322E+00
   0.2100E+01   0.4484E-01
   0.2200E+01  -0.3373E-01
   0.2300E+01  -0.1035E+00
   0.2400E+01  -0.1647E+00
   0.2500E+01  -0.2177E+00
   0.2600E+01  -0.2630E+00
   0.2700E+01  -0.3011E+00
   0.2800E+01  -0.3327E+00
   0.2900E+01  -0.3582E+00
   0.3000E+01  -0.3783E+00
   0.3100E+01  -0.3936E+00
   0.3200E+01  -0.4046E+00
   0.3300E+01  -0.4118E+00
   0.3400E+01  -0.4157E+00
   0.3500E+01  -0.4167E+00
   0.3600E+01  -0.4152E+00
   0.3700E+01  -0.4116E+00
   0.3800E+01  -0.4062E+00
   0.3900E+01  -0.3992E+00
   0.4000E+01  -0.3910E+00
   0.4100E+01  -0.3818E+00
   0.4200E+01  -0.3717E+00
   0.4300E+01  -0.3610E+00
   0.4400E+01  -0.3498E+00
   0.4500E+01  -0.3383E+00
   0.4600E+01  -0.3265E+00
   0.4700E+01  -0.3146E+00
   0.4800E+01  -0.3027E+00
   0.4900E+01  -0.2908E+00
   0.5000E+01  -0.2790E+00
   0.5100E+01  -0.2673E+00
   0.5200E+01  -0.2559E+00
   0.5300E+01  -0.2447E+00
   0.5400E+01  -0.2338E+00
   0.5500E+01  -0.2232E+00
   0.5600E+01  -0.2130E+00
   0.5700E+01  -0.2030E+00
   0.5800E+01  -0.1934E+00
   0.5900E+01  -0.1842E+00
   0.6000E+01  -0.1753E+00
   0.6100E+01  -0.1668E+00
   0.6200E+01  -0.1586E+00
   0.6300E+01  -0.1508E+00
   0.6400E+01  -0.1433E+00
   0.6500E+01  -0.1362E+00
   0.6600E+01  -0.1294E+00
   0.6700E+01  -0.1229E+00
   0.6800E+01  -0.1168E+00
   0.6900E+01  -0.1109E+00
   0.7000E+01  -0.1054E+00
   0.7100E+01  -0.1001E+00
   0.7200E+01  -0.9505E-01
   0.7300E+01  -0.9030E-01
   0.7400E+01  -0.8579E-01
   0.7500E+01  -0.8153E-01
   0.7600E+01  -0.7748E-01
   0.7700E+01  -0.7366E-01
   0.7800E+01  -0.7004E-01
   0.7900E+01  -0.6662E-01
   0.8000E+01  -0.6338E-01
   0.8100E+01  -0.6032E-01
   0.8200E+01  -0.5742E-01
   0.8300E+01  -0.5468E-01
   0.8400E+01  -0.5210E-01
   0.8500E+01  -0.4965E-01
   0.8600E+01  -0.4734E-01
   0.8700E+01  -0.4515E-01
   0.8800E+01  -0.4308E-01
   0.8900E+01  -0.4113E-01
   0.9000E+01  -0.3928E-01
   0.9100E+01  -0.3753E-01
   0.9200E+01  -0.3587E-01
   0.9300E+01  -0.3431E-01
   0.9400E+01  -0.3282E-01
   0.9500E+01  -0.3142E-01
   0.9600E+01  -0.3009E-01
   0.9700E+01  -0.2883E-01
   0.9800E+01  -0.2763E-01
   0.9900E+01  -0.2650E-01
   0.1000E+02  -0.2542E-01



# delta=  0.5000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1338E+00
   0.2000E+00   0.3812E+00
   0.3000E+00   0.6208E+00
   0.4000E+00   0.8240E+00
   0.5000E+00   0.9784E+00
   0.6000E+00   0.1081E+01
   0.7000E+00   0.1135E+01
   0.8000E+00   0.1146E+01
   0.9000E+00   0.1120E+01
   0.1000E+01   0.1065E+01
   0.1100E+01   0.9887E+00
   0.1200E+01   0.8971E+00
   0.1300E+01   0.7960E+00
   0.1400E+01   0.6902E+00
   0.1500E+01   0.5836E+00
   0.1600E+01   0.4792E+00
   0.1700E+01   0.3793E+00
   0.1800E+01   0.2853E+00
   0.1900E+01   0.1984E+00
   0.2000E+01   0.1192E+00
   0.2100E+01   0.4773E-01
   0.2200E+01  -0.1594E-01
   0.2300E+01  -0.7208E-01
   0.2400E+01  -0.1211E+00
   0.2500E+01  -0.1634E+00
   0.2600E+01  -0.1996E+00
   0.2700E+01  -0.2301E+00
   0.2800E+01  -0.2556E+00
   0.2900E+01  -0.2765E+00
   0.3000E+01  -0.2933E+00
   0.3100E+01  -0.3066E+00
   0.3200E+01  -0.3166E+00
   0.3300E+01  -0.3239E+00
   0.3400E+01  -0.3287E+00
   0.3500E+01  -0.3314E+00
   0.3600E+01  -0.3322E+00
   0.3700E+01  -0.3315E+00
   0.3800E+01  -0.3294E+00
   0.3900E+01  -0.3261E+00
   0.4000E+01  -0.3218E+00
   0.4100E+01  -0.3166E+00
   0.4200E+01  -0.3108E+00
   0.4300E+01  -0.3043E+00
   0.4400E+01  -0.2974E+00
   0.4500E+01  -0.2901E+00
   0.4600E+01  -0.2825E+00
   0.4700E+01  -0.2747E+00
   0.4800E+01  -0.2667E+00
   0.4900E+01  -0.2586E+00
   0.5000E+01  -0.2504E+00
   0.5100E+01  -0.2423E+00
   0.5200E+01  -0.2341E+00
   0.5300E+01  -0.2260E+00
   0.5400E+01  -0.2180E+00
   0.5500E+01  -0.2101E+00
   0.5600E+01  -0.2023E+00
   0.5700E+01  -0.1947E+00
   0.5800E+01  -0.1873E+00
   0.5900E+01  -0.1800E+00
   0.6000E+01  -0.1729E+00
   0.6100E+01  -0.1660E+00
   0.6200E+01  -0.1592E+00
   0.6300E+01  -0.1527E+00
   0.6400E+01  -0.1464E+00
   0.6500E+01  -0.1403E+00
   0.6600E+01  -0.1344E+00
   0.6700E+01  -0.1287E+00
