# delta=  0.5000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1338E+00
   0.2000E+00   0.3812E+00
   0.3000E+00   0.6208E+00
   0.4000E+00   0.8240E+00
   0.5000E+00   0.9784E+00
   0.6000E+00   0.1081E+01
   0.7000E+00   0.1135E+01
   0.8000E+00   0.1146E+01
   0.9000E+00   0.1120E+01
   0.1000E+01   0.1065E+01
   0.1100E+01   0.9887E+00
   0.1200E+01   0.8971E+00
   0.1300E+01   0.7960E+00
   0.1400E+01   0.6902E+00
   0.1500E+01   0.5836E+00
   0.1600E+01   0.4792E+00
   0.1700E+01   0.3793E+00
   0.1800E+01   0.2853E+00
   0.1900E+01   0.1984E+00
   0.2000E+01   0.1192E+00
   0.2100E+01   0.4773E-01
   0.2200E+01  -0.1594E-01
   0.2300E+01  -0.7208E-01
   0.2400E+01  -0.1211E+00
   0.2500E+01  -0.1634E+00
   0.2600E+01  -0.1996E+00
   0.2700E+01  -0.2301E+00
   0.2800E+01  -0.2556E+00
   0.2900E+01  -0.2765E+00
   0.3000E+01  -0.2933E+00
   0.3100E+01  -0.3066E+00
   0.3200E+01  -0.3166E+00
   0.3300E+01  -0.3239E+00
   0.3400E+01  -0.3287E+00
   0.3500E+01  -0.3314E+00
   0.3600E+01  -0.3322E+00
   0.3700E+01  -0.3315E+00
   0.3800E+01  -0.3294E+00
   0.3900E+01  -0.3261E+00
   0.4000E+01  -0.3218E+00
   0.4100E+01  -0.3166E+00
   0.4200E+01  -0.3108E+00
   0.4300E+01  -0.3043E+00
   0.4400E+01  -0.2974E+00
   0.4500E+01  -0.2901E+00
   0.4600E+01  -0.2825E+00
   0.4700E+01  -0.2747E+00
   0.4800E+01  -0.2667E+00
   0.4900E+01  -0.2586E+00
   0.5000E+01  -0.2504E+00
   0.5100E+01  -0.2423E+00
   0.5200E+01  -0.2341E+00
   0.5300E+01  -0.2260E+00
   0.5400E+01  -0.2180E+00
   0.5500E+01  -0.2101E+00
   0.5600E+01  -0.2023E+00
   0.5700E+01  -0.1947E+00
   0.5800E+01  -0.1873E+00
   0.5900E+01  -0.1800E+00
   0.6000E+01  -0.1729E+00
   0.6100E+01  -0.1660E+00
   0.6200E+01  -0.1592E+00
   0.6300E+01  -0.1527E+00
   0.6400E+01  -0.1464E+00
   0.6500E+01  -0.1403E+00
   0.6600E+01  -0.1344E+00
   0.6700E+01  -0.1287E+00
   0.6800E+01  -0.1232E+00
   0.6900E+01  -0.1180E+00
   0.7000E+01  -0.1129E+00
   0.7100E+01  -0.1080E+00
   0.7200E+01  -0.1033E+00
   0.7300E+01  -0.9880E-01
   0.7400E+01  -0.9448E-01
   0.7500E+01  -0.9034E-01
   0.7600E+01  -0.8638E-01
   0.7700E+01  -0.8258E-01
   0.7800E+01  -0.7895E-01
   0.7900E+01  -0.7548E-01
   0.8000E+01  -0.7216E-01
   0.8100E+01  -0.6899E-01
   0.8200E+01  -0.6596E-01
   0.8300E+01  -0.6307E-01
   0.8400E+01  -0.6031E-01
   0.8500E+01  -0.5768E-01
   0.8600E+01  -0.5518E-01
   0.8700E+01  -0.5278E-01
   0.8800E+01  -0.5050E-01
   0.8900E+01  -0.4833E-01
   0.9000E+01  -0.4626E-01
   0.9100E+01  -0.4429E-01
   0.9200E+01  -0.4241E-01
   0.9300E+01  -0.4062E-01
   0.9400E+01  -0.3891E-01
   0.9500E+01  -0.3729E-01
   0.9600E+01  -0.3574E-01
   0.9700E+01  -0.3427E-01
   0.9800E+01  -0.3287E-01
   0.9900E+01  -0.3153E-01
   0.1000E+02  -0.3026E-01



