# delta=  0.9000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1244E+00
   0.2000E+00   0.3229E+00
   0.3000E+00   0.4985E+00
   0.4000E+00   0.6285E+00
   0.5000E+00   0.7083E+00
   0.6000E+00   0.7415E+00
   0.7000E+00   0.7362E+00
   0.8000E+00   0.7011E+00
   0.9000E+00   0.6453E+00
   0.1000E+01   0.5765E+00
   0.1100E+01   0.5012E+00
   0.1200E+01   0.4243E+00
   0.1300E+01   0.3496E+00
   0.1400E+01   0.2795E+00
   0.1500E+01   0.2154E+00
   0.1600E+01   0.1583E+00
   0.1700E+01   0.1081E+00
   0.1800E+01   0.6491E-01
   0.1900E+01   0.2815E-01
   0.2000E+01  -0.2719E-02
   0.2100E+01  -0.2833E-01
   0.2200E+01  -0.4932E-01
   0.2300E+01  -0.6632E-01
   0.2400E+01  -0.7991E-01
   0.2500E+01  -0.9061E-01
   0.2600E+01  -0.9888E-01
   0.2700E+01  -0.1051E+00
   0.2800E+01  -0.1097E+00
   0.2900E+01  -0.1128E+00
   0.3000E+01  -0.1149E+00
   0.3100E+01  -0.1160E+00
   0.3200E+01  -0.1163E+00
   0.3300E+01  -0.1160E+00
   0.3400E+01  -0.1152E+00
   0.3500E+01  -0.1141E+00
   0.3600E+01  -0.1126E+00
   0.3700E+01  -0.1108E+00
   0.3800E+01  -0.1089E+00
   0.3900E+01  -0.1069E+00
   0.4000E+01  -0.1047E+00
   0.4100E+01  -0.1025E+00
   0.4200E+01  -0.1002E+00
   0.4300E+01  -0.9791E-01
   0.4400E+01  -0.9560E-01
   0.4500E+01  -0.9331E-01
   0.4600E+01  -0.9103E-01
   0.4700E+01  -0.8878E-01
   0.4800E+01  -0.8657E-01
   0.4900E+01  -0.8439E-01
   0.5000E+01  -0.8227E-01
   0.5100E+01  -0.8019E-01
   0.5200E+01  -0.7816E-01
   0.5300E+01  -0.7618E-01
   0.5400E+01  -0.7426E-01
   0.5500E+01  -0.7240E-01
   0.5600E+01  -0.7058E-01
   0.5700E+01  -0.6882E-01
   0.5800E+01  -0.6712E-01
   0.5900E+01  -0.6547E-01
   0.6000E+01  -0.6387E-01
   0.6100E+01  -0.6231E-01
   0.6200E+01  -0.6081E-01
   0.6300E+01  -0.5936E-01
   0.6400E+01  -0.5795E-01
   0.6500E+01  -0.5659E-01
   0.6600E+01  -0.5528E-01
   0.6700E+01  -0.5400E-01
   0.6800E+01  -0.5277E-01
   0.6900E+01  -0.5158E-01
   0.7000E+01  -0.5042E-01
   0.7100E+01  -0.4931E-01
   0.7200E+01  -0.4823E-01
   0.7300E+01  -0.4718E-01
   0.7400E+01  -0.4617E-01
   0.7500E+01  -0.4519E-01
   0.7600E+01  -0.4424E-01
   0.7700E+01  -0.4332E-01
   0.7800E+01  -0.4243E-01
   0.7900E+01  -0.4157E-01
   0.8000E+01  -0.4073E-01
   0.8100E+01  -0.3992E-01
   0.8200E+01  -0.3914E-01
   0.8300E+01  -0.3838E-01
   0.8400E+01  -0.3764E-01
   0.8500E+01  -0.3692E-01
   0.8600E+01  -0.3623E-01
   0.8700E+01  -0.3555E-01
   0.8800E+01  -0.3490E-01
   0.8900E+01  -0.3426E-01
   0.9000E+01  -0.3364E-01
   0.9100E+01  -0.3304E-01
   0.9200E+01  -0.3246E-01
   0.9300E+01  -0.3189E-01
   0.9400E+01  -0.3134E-01
   0.9500E+01  -0.3081E-01
   0.9600E+01  -0.3029E-01
   0.9700E+01  -0.2978E-01
   0.9800E+01  -0.2929E-01
   0.9900E+01  -0.2881E-01
   0.1000E+02  -0.2834E-01



